program,quality,season,ytm,shipping_mark,brand_name,pss,basket,flow_type,packaging_status,product_code,description,detail_size_description,new_repeat,master_contract,sam,design,widths,color,article,size_name,size_dims,quantity,cancelled_qty,pcb,order_cartons,net_wt_pcs,net_wt_ctn,gross_weight,total_net_wt,total_gross_wt,l,w,h,cbm,total_volume,tag_cards_yellow_tags,line_product_code_stickers,price,total_value,week_date,no_of_days,ytm_ship_dates,initial_fri,etd,comments,merged,etd_remarks,greige_file
ROMANIA PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,54SSH27ROCA0135,SSH27ROCA0001,,,I302377,DUVET COVER SET 200 THEA,SET QC 200x200 + 2 PC 50x70,,,,THEA,,ECRU,DUVET/QUILT COVER SET,STANDARD,200X200,500,,4,125,,,,,,,,,,,,,10.59,5295.0,2026-07-31,52,2026-09-21,2026-10-06,2026-10-23,no merging,,,
ROMANIA PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,54SSH27ROCA0136,SSH27ROCA0001,,,I302378,DUVET COVER SET 220 THEA,SET QC 220x240 + 2 PC 50x70,,,,THEA,,ECRU,DUVET/QUILT COVER SET,DOUBLE,220X240,300,,5,60,,,,,,,,,,,,,12.62,3786.0,2026-07-31,52,2026-09-21,2026-10-06,2026-10-23,no merging,,,
ROMANIA PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,,,,54SSH27ROCA0115,SSH27ROCA0001,,,I961519,DUVET COVER SET 150 SAGARA,SET QC 150X200 + 1PC 50x70 ,,,,SAGARA,,BEIGE,DUVET/QUILT COVER SET,SINGLE,150X200,200,,5,40,,,5.75,,,28.0,27.5,33.0,,,,,8.46,1692.0,2026-07-31,52,2026-09-21,2026-10-06,2026-10-23,no merging,,,
ROMANIA PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,,,,54SSH27ROCA0115,SSH27ROCA0001,,,I961520,DUVET COVER SET 200 SAGARA,SET QC 200x200 + 2 PC 50x70,,,,SAGARA,,BEIGE,DUVET/QUILT COVER SET,STANDARD,200X200,350,,5,70,,,7.75,,,36.0,27.5,33.0,,,,,12.35,4322.5,2026-07-31,52,2026-09-21,2026-10-06,2026-10-23,no merging,,,
ROMANIA PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,,,,54SSH27ROCA0115,SSH27ROCA0001,,,I961521,DUVET COVER SET 220 SAGARA,SET QC 220x240 + 2 PC 50x70,,,,SAGARA,,BEIGE,DUVET/QUILT COVER SET,DOUBLE,220X240,240,,5,48,,,9.148,,,40.0,27.5,33.0,,,,,14.56,3494.4,2026-07-31,52,2026-09-21,2026-10-06,2026-10-23,no merging,,,
POLAND PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,54SSH27PLCA0084,SSH27PLCA0001,,,I302325,DUVET COVER SET 160X200 THEA,QC 160X200 +2 PC70X80+23 cm flap,,,,THEA,,ECRU,DUVET/QUILT COVER SET,STANDARD,160X200,152,,4,0,,,,,,,,,,,,,8.85,1345.2,2026-08-28,52,2026-10-19,2026-11-03,2026-11-20,no merging,,,
POLAND PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,54SSH27PLCA0084,SSH27PLCA0001,,,I302326,DUVET COVER SET 220X200 THEA,QC 220x200 + 2 PC 70x80,,,,THEA,,ECRU,DUVET/QUILT COVER SET,DOUBLE,220X200,128,,4,0,,,,,,,,,,,,,9.48,1213.44,2026-08-28,52,2026-10-19,2026-11-03,2026-11-20,no merging,,,
POLAND PRINTS,MICROFIBER,SSH-27,,,,54SSH27PLCA0084,SSH27PLCA0001,,,I302339,SET 160X200 MICRONEHA,QC 160X200 +2 PC70X80+23 cm flap,,,,MICRONEHA,,OFF WHITE,DUVET/QUILT COVER SET,STANDARD,160X200,332,,4,0,,,,,,,,,,,,,5.81,1928.92,2026-08-28,52,2026-10-19,2026-11-03,2026-11-20,no merging,,,
MORROCO PRINTS,"60% coton 40% polyester, 30X30/76x56 CVC",SSH-27,7108,,,54SSH27MACA0057 etd revised,SSH27MACA0001,,,I996091,PARURE 140 GABI,QC 140X200 + 1PC 65X65 bottle neck,NEW,,,GABI NEW,,PINK,DUVET/QUILT COVER SET,SINGLE,140X200,44,,4,11,,,4.67,,,27.5,24.0,33.0,,,,,6.62,291.28,2026-08-07,52,2026-09-28,2026-10-13,2026-10-30,,issuing on 21 aug ETD,,
MORROCO PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,,SSH27MACA0001,,,I996080,PARURE 140 JUNIOR ASTRO,QC 140X200 + 1PC 65X65 flap,REPEAT,,,JUNIOR ASTRO,ok,NAVY,DUVET/QUILT COVER SET,SINGLE,140X200,80,,5,16,,,4.94,,,27.5,26.0,33.0,,,,,6.46,516.8,2026-06-26,52,2026-08-17,2026-09-01,2026-09-18,PBMOQ,BASKET HOLD ON PBMOQ,,
